×	上級
あ	初級
ああ	初級
あいた	上級
あう	上級
あからさま	上級
あくどい	上級
あぐねる	上級
あさって	上級
あざとい	上級
あしらい	上級
あしらう	上級
あたふた	上級
あたら	上級
あっ	初級
あっけらかん	上級
あっさり	中級
あてがう	上級
あどけない	上級
あの	初級
あべこべ	上級
あやかし	上級
あやかる	上級
あやす	上級
あやふや	上級
あら	中級
あらまし	上級
あらゆる	中級
ありあり	上級
あれ	初級
あわや	上級
あわよくば	上級
あんぐり	上級
あんこ	上級
あんちょこ	上級
あんな	初級
あんぽんたん	上級
あー	中級
いい	上級
いいえ	初級
いえ	初級
いかす	上級
いかなご	上級
いかれる	上級
いがらっぽい	上級
いごっそう	上級
いざ	上級
いざこざ	上級
いじける	上級
いじましい	上級
いじらしい	上級
いそいそ	上級
いちゃつく	上級
いちゃもん	上級
いっかな	上級
いっそ	上級
いと	上級
いとど	上級
いなす	上級
いなだ	上級
いびる	上級
いや	中級
いらっしゃる	初級
いわけない	上級
いんちき	上級
ううん	中級
うかうか	上級
うじうじ	上級
うじゃうじゃ	上級
うずうず	上級
うそうそ	上級
うだうだ	上級
うち	上級
うっかり	中級
うっとり	上級
うつうつ	上級
うつけ	上級
うつらうつら	上級
うとうと	中級
うねり	上級
うねる	上級
うふふ	上級
うむ	上級
うら	上級
うらうら	上級
うら寂しい	上級
うら悲しい	上級
うら若い	上級
うるうる	上級
うろうろ	中級
うろちょろ	上級
うろ覚え	上級
うわ	中級
うん	初級
うんこ	中級
うんざり	上級
うんと	中級
え	初級
ええ	初級
えぐい	上級
えげつない	上級
えっ	初級
えんえん	上級
えんこ	上級
えー	中級
えーと	上級
おい	初級
おいおい	上級
おいそれと	上級
おお	中級
おかわ	上級
おけら	上級
おこわ	上級
おしっこ	中級
おしゃぶり	上級
おしゃま	上級
おじゃん	上級
おじや	上級
おす	上級
おずおず	上級
おたおた	上級
おちおち	上級
おちょくる	上級
おっ	中級
おっかない	上級
おっかなびっくり	上級
おっちょこちょい	上級
おっとり	上級
おっぱい	中級
おっぱじめる	上級
おでん	中級
おどおど	上級
おどけ	上級
おどろおどろ	上級
おどろおどろしい	上級
おなら	中級
おひたし	上級
おべっか	上級
おぼこ	上級
おませ	上級
おまる	上級
おみおつけ	上級
おみ足	上級
おめおめ	上級
おめでた	上級
おや	中級
おら	上級
おろおろ	上級
おわす	上級
おんぼろ	上級
お好み焼き	中級
お手の物	上級
お手上げ	上級
お払い箱	上級
お釈迦	上級
かかずらう	上級
かき餅	上級
かく	上級
かくかく	上級
かさかさ	中級
かしこ	上級
かた	上級
かちかち	中級
かちり	上級
かっ	中級
かっか	上級
かっきり	上級
かっちり	上級
かっと	上級
かっ飛ばす	上級
かつかつ	上級
かどわかす	上級
かねがね	上級
かほど	上級
かまくら	上級
かまける	上級
かまとと	上級
から	上級
からかい	上級
からかう	中級
からから	中級
からっきし	上級
からり	上級
かりかり	上級
かんかん	上級
かんな	上級
か弱い	上級
か細い	上級
か黒い	上級
が	初級
がかる	上級
がくがく	上級
がさがさ	上級
がせ	上級
がた	上級
がたい	上級
がたがた	中級
がたん	上級
がた落ち	上級
がち	上級
がちがち	上級
がちゃがちゃ	中級
がっかり	中級
がっくり	上級
がっしり	上級
がっちり	上級
がっつく	上級
がっぷり	上級
がっぽり	上級
がつがつ	上級
がぶがぶ	上級
がぶり	上級
がぶる	上級
がぶ飲み	上級
がみがみ	中級
がめつい	上級
がめる	上級
がやがや	上級
がら	上級
がらがら	中級
がらっぱち	上級
がらり	上級
がらん	上級
がらんどう	上級
がら空き	上級
がりがり	上級
がる	中級
がんがん	上級
きざ	上級
きしょい	上級
きちきち	上級
きちんと	中級
きっちり	中級
きっぱり	中級
きつい	中級
きびきび	上級
きゃあ	上級
きゅうきゅう	上級
きょうす	上級
きょとん	上級
きょろきょろ	中級
きらきら	中級
きらず	上級
きらめく	上級
きらり	上級
きり	上級
きりきり	上級
ぎくしゃく	上級
ぎこちない	上級
ぎざぎざ	上級
ぎすぎす	上級
ぎっくり腰	上級
ぎっしり	上級
ぎゃあ	上級
ぎゃふん	上級
ぎゅうぎゅう	上級
ぎょっと	中級
ぎょろぎょろ	上級
ぎらぎら	中級
ぎらり	上級
ぎりぎり	中級
くい	上級
くぐもる	上級
くさくさ	上級
くさや	上級
くしゃくしゃ	中級
くすくす	中級
くすねる	上級
くすむ	上級
くそ	上級
くたくた	中級
くたばる	上級
くだくだしい	上級
くちい	上級
くちゃくちゃ	上級
くっきり	中級
くどい	上級
くどくど	上級
くねくね	上級
くねる	上級
くゆらす	上級
くゆらせる	上級
くよくよ	中級
くらくら	上級
くりくり	上級
くる	上級
くるくる	中級
くるり	中級
ぐいぐい	中級
ぐい飲み	上級
ぐうたら	上級
ぐさり	上級
ぐしゃぐしゃ	上級
ぐじゅぐじゅ	上級
ぐずぐず	中級
ぐちゃぐちゃ	中級
ぐっしょり	上級
ぐっすり	中級
ぐったり	中級
ぐつぐつ	中級
ぐにゃぐにゃ	上級
ぐびぐび	上級
ぐらぐら	中級
ぐらつく	上級
ぐらり	上級
ぐりぐり	上級
ぐる	上級
ぐるぐる	中級
ぐるみ	上級
ぐるり	上級
ぐんぐん	中級
ぐんと	上級
け	上級
けしからん	上級
けじめ	上級
けたたましい	上級
けち	中級
けちょんけちょん	上級
けちん坊	上級
けったい	上級
けばけばしい	上級
けり	中級
けれど	中級
けろけろ	上級
けんもほろろ	上級
げそ	上級
げっそり	上級
げっぷ	上級
げらげら	上級
げろ	上級
げんなり	上級
げんまん	上級
こう	初級
こく	上級
こけし	上級
こげん	上級
こざっぱり	上級
こじつける	上級
こじる	上級
こせこせ	上級
こそ	上級
こそこそ	中級
こそばゆい	上級
こだわり	中級
こだわる	上級
こちこち	上級
こちょこちょ	上級
こっくり	上級
こっそり	中級
こってり	上級
こつこつ	中級
こてこて	上級
こてんこてん	上級
こと	上級
こめかみ	上級
こら	中級
こりこり	上級
これみよがし	上級
ころ	中級
ころころ	中級
ころり	上級
